listing_id,availability_30,availability_90
7225376,0,0
5660081,0,0
13968660,0,5
1426711,2,25
5510597,0,29
12849985,0,0
12320063,0,0
4823089,0,0
7871576,0,0
5904992,0,0
5222368,4,33
66288,2,11
11313921,0,0
6629929,13,63
12074204,2,2
4160585,15,65
13391024,6,37
195515,29,89
13565466,0,0
130552,29,89
5832127,0,0
9710999,0,0
12517081,0,0
13531200,1,36
11861063,1,17
12089399,29,89
5453775,0,11
12497846,0,0
14137262,8,30
5526487,10,51
14398508,2,31
1373520,5,55
6387077,0,0
13037372,18,78
1471308,6,33
13521713,15,44
848152,5,57
7008455,3,55
11006149,0,0
12102482,29,89
6744795,29,89
3659917,0,0
14854671,19,23
1092093,0,33
10051003,0,0
11219568,0,29
1471373,4,35
13888974,29,89
9428208,0,0
13233250,3,52
9710673,0,0
8973362,0,0
10153739,30,90
2754149,0,8
12707324,0,0
14442333,19,68
9824155,17,76
13624971,0,0
9626892,1,42
7562235,0,0
10478553,0,0
14854164,11,15
14196983,23,83
6611126,0,0
5267396,11,64
8184662,29,89
12264207,0,0
14685769,1,50
14867747,5,65
13081347,0,0
6118583,4,60
6990023,0,30
14670311,2,48
10328539,3,32
14668008,0,0
10131503,29,89
7280665,0,0
10153536,30,90
12359031,29,89
13000520,8,30
7050397,0,0
4687499,0,0
4625517,0,0
5412487,0,0
13062783,0,0
7868931,29,89
8442314,0,0
12357955,29,89
12750816,0,0
8015793,0,0
9998187,30,90
14336348,0,23
4493030,0,0
13525610,4,64
14339562,1,30
14110186,0,48
4787213,0,0
13658697,0,0
8539551,0,0
9407895,0,0
13651290,1,29
3198169,0,19
10537553,0,0
7113260,2,37
13060366,30,90
14092430,0,0
6834270,0,33
7379913,0,0
4523594,0,0
543188,29,89
4409653,30,35
12667158,0,0
8337048,0,4
8390386,0,2
13028092,0,0
12608363,0,0
5967936,0,0
6684904,30,35
6676364,0,2
2174711,6,43
14235257,30,90
6870366,3,6
7637094,0,0
4518756,15,41
14759485,12,69
14237196,3,50
13449737,21,81
14365669,16,76
11940785,0,0
4518710,7,61
13397390,7,51
11398458,9,38
1731639,3,63
4518380,20,76
12265433,12,72
6268082,0,7
14820482,17,77
8422876,4,53
13129109,12,72
2706986,27,83
11963384,29,89
9825415,0,4
14731382,13,73
7931882,0,0
475259,13,73
475254,3,63
6292261,5,55
6499228,30,90
4053612,25,85
8733896,0,0
9166002,0,0
8014683,0,0
3359170,29,89
12303347,29,89
3401809,29,89
12301081,29,89
2848330,17,62
13079659,9,63
2848370,15,71
13024385,6,50
7630346,5,46
2848362,12,59
2187766,25,25
14246956,6,63
2848393,12,53
14573486,4,46
3342206,30,90
8830015,0,48
14898198,22,82
10611728,29,89
11169560,0,0
14251275,9,66
12302222,29,89
6452246,4,15
8861069,0,12
13417639,11,56
12383204,29,89
6500646,0,30
12986892,30,90
7434871,9,9
7630340,7,56
2848239,13,73
994317,30,90
12428994,26,80
9921925,24,84
13813380,0,0
10116726,27,87
10136854,30,90
10034614,29,89
14918194,20,80
9183638,0,0
12984748,30,90
12284774,29,89
10117472,29,89
11126122,10,29
12067685,0,37
10116429,27,87
13943142,0,0
10034113,29,89
11968079,30,90
4255538,7,44
10033710,29,89
10033322,29,89
11982313,29,89
14506396,0,0
10261620,29,89
12899321,16,76
4445906,26,79
10116601,27,87
11981674,29,89
12949309,9,69
9261381,0,0
11772497,0,0
14420920,10,67
12356183,29,89
2722165,1,52
14420354,23,78
12986016,30,90
10262069,29,89
14222649,0,41
13762650,30,90
10117329,29,89
721979,29,89
13624476,0,4
13445221,1,3
13059,28,58
369880,2,14
822063,3,3
12826145,10,59
8555187,0,0
10704442,0,0
10928093,0,0
9834727,1,30
8011545,0,0
14204600,15,64
10106081,3,54
14461498,0,5
4553903,3,40
11648212,0,0
916123,3,40
10779412,0,0
5782221,5,8
13744821,0,1
12221012,0,17
2898226,0,15
12843196,10,54
13478348,3,6
14104621,0,3
14857923,16,69
12269155,3,42
13800505,12,55
13007124,6,37
14808548,1,5
13248823,0,0
12957423,1,22
13107648,2,25
2831504,30,60
2842124,10,24
14282764,13,69
13709092,1,1
9858828,0,0
14035943,0,0
7582651,0,0
11924459,1,22
766700,4,32
13005579,16,72
3434614,2,2
13573506,0,0
4518100,19,53
4304969,0,23
2943804,30,60
11922134,4,51
2043541,3,32
2043529,5,9
9750460,0,0
2043261,0,0
815639,3,37
6089865,3,26
2633478,28,83
7450348,0,0
9841140,8,36
13298108,0,0
4924910,2,43
13642397,0,0
14624254,2,10
4580825,2,10
10836881,24,80
9610609,15,67
3006311,0,0
13414367,0,4
8036024,0,37
24240,6,12
12425501,7,43
6939759,0,0
3129309,3,35
4350995,0,0
6971836,0,0
1220971,4,35
3664031,14,74
14215317,14,71
4089940,6,57
1615033,1,40
11624428,0,0
9331460,0,0
9117009,3,35
14572511,10,18
220676,16,64
891661,3,11
14780436,0,34
5511911,0,0
7036112,0,0
14424224,14,74
14429876,9,10
7018497,0,0
14538087,7,67
6134145,19,66
8556025,4,42
5755910,11,25
9425902,0,0
12407753,0,0
1758953,1,33
1094599,30,90
14589695,5,12
7181950,10,50
6197950,0,0
