id,name,property_id,host_id,neighborhood_id,zipcode,accommodates,bedrooms,minimum_nights,price,availability_30,availability_90
3703674,Private floor in Jamaica Plain home,6,9350281,2,02130,2,1.0,1,$75.00,0,0
4792901,Spacious room in secluded townhouse,1,24701232,2,02130,2,1.0,1,$65.00,0,0
5717528,Charming Victorian near T,2,7394101,2,02130,1,1.0,1,$110.00,11,71
5601743,"Beautiful, Expansive Space in JP",1,19280995,2,02130,2,1.0,2,$46.00,8,62
13333862,"Sunny room, colorful artist home",2,5215706,2,02130,3,1.0,2,$75.00,0,0
519272,"Cozy Room + Private Bath, JP Boston",2,2444900,2,02130,2,1.0,3,$62.00,0,0
14090779,Lovely room with private half bath,3,6104362,2,02130,2,1.0,2,$69.00,0,15
8481291,"Beautiful, airy room in JP",2,8167936,2,02130,2,1.0,2,$69.00,0,0
6990904,Cozy JP bedroom near Orange Line T,1,16337422,2,02130,2,1.0,1,$73.00,0,0
197727,Great Boston neighborhood Jamaica PLain,2,964356,2,02130,1,1.0,2,$85.00,0,31
932853,Qn BR/Private Bath/Superhost/JP Ctr,2,5028116,2,02130,2,1.0,1,$120.00,4,62
11159585,Mark P.Coleman,1,57514323,2,02130,2,1.0,2,$125.00,30,90
9677354,JP Gem,2,391664,2,02130,1,1.0,1,$70.00,28,88
13426831,"Cozy, comfortable, colorful room near orange line",3,17401715,2,02130,2,1.0,1,$100.00,0,0
7956634,The Blue Room in JP,3,8154081,2,02130,2,1.0,1,$61.00,0,0
568234,Parking/Pvt Bath/Hip Neighborhood!,1,2796082,2,02130,4,1.0,1,$125.00,13,60
1030500,"Cozy den, private apt/kitchen/bath",2,5670669,2,02130,2,1.0,1,$100.00,3,41
13652374,Private Room near Forest Hills T Stop,2,27860683,2,02130,1,1.0,1,$27.00,0,0
12930651,Sunny and quiet private room close to subway (JP),2,5580771,2,02130,2,1.0,2,$80.00,0,0
3997572,Room in beautiful JP home,1,1805868,2,02130,2,1.0,1,$85.00,30,90
4223387,Convenient green Victorian,1,5689782,2,02119,3,1.0,1,$75.00,28,83
12855396,Cozy room in boston neighborhood,1,16052189,2,02130,1,1.0,7,$57.00,6,66
12426823,"Nice private room, full size bed",2,17549950,2,02130,2,1.0,1,$100.00,0,0
14361322,Cozy Neighborhood Spot,2,19056916,2,02130,1,1.0,1,$40.00,0,34
2963419,"Peaceful room, garden oasis",1,15123694,2,02130,1,1.0,4,$100.00,0,4
5904732,Lg sunny room w/private entrance,1,987917,2,02119,2,1.0,1,$70.00,14,58
3591359,Spacious 2 bedroom apartment (free parking),2,9662986,2,02130,4,2.0,4,$190.00,0,14
2538536,Beautiful bright corner unit!ioc,2,16067950,2,Unknown,3,1.0,7,$149.00,0,58
4975581,Clean Apartment in Boston,2,12937716,2,02130,6,2.0,3,$168.00,9,50
4767023,Stay in Boston's top neighborhood,1,24593919,2,02130,5,3.0,2,$205.00,0,0
6364042,Bright room with queen sized bed,1,987917,2,02119,2,1.0,1,$65.00,7,56
7986179,Spacious home in Jamaica Plain,2,20040612,2,02130,2,1.0,1,$75.00,0,0
14109003,"3rd floor condo, 2 bedrooms, 2 decks",3,22290246,2,02130,4,2.0,1,$117.00,0,0
1109224,4 bedroom Victorian Condo unit,2,1531239,2,02130,8,4.0,3,$429.00,8,65
1067184,Lovely bedroom/use of whole apt.,2,848706,2,02130,2,1.0,2,$95.00,21,81
13215952,The Blue Grotto,2,19798741,2,02130,2,1.0,1,$69.00,0,0
777903,A suburban feel in the city,1,4102281,2,02130,2,1.0,1,$85.00,26,86
1301500,Stay in Boston's best neighborhood!,2,3578624,2,02130,2,1.0,3,$69.00,5,65
8923817,"Elegant studio,kitchn, soaking tub",1,45402419,2,02130,2,1.0,2,$165.00,0,1
14057466,Priv apt w/2 Beds 1 bath close to Medical/Downtown,2,30314324,2,02130,4,2.0,5,$150.00,1,44
14909417,Woodland Sanctuary next to Orange Line T,3,93635490,2,02130,7,4.0,1,$267.00,13,73
5521378,"Cozy bedroom near train, bus, parks",2,25636575,2,02130,2,1.0,2,$87.00,29,74
13041602,Quiet & Sunny Room Near Subway,6,72132089,2,02130,2,1.0,2,$62.00,2,2
2621242,Lovely one bedroom Apt,2,13424353,2,02130,2,1.0,2,$110.00,0,0
950046,Spacious Apartment in Jamaica Plain,2,5153431,2,02130,6,3.0,4,$250.00,0,0
3342094,Pondside Paradise with Piano,2,1922657,2,02130,6,2.0,2,$150.00,0,10
5652147,"Convenient, Sunny 3b/2bth w/Parking",1,352441,2,02130,7,3.0,2,$300.00,30,90
14105971,Tranquil Treetop Loft,2,79103444,2,02130,2,0.0,1,$119.00,2,23
2875267,"Historic Carriage House, a peaceful city oasis",2,14696258,2,02130,2,0.0,2,$175.00,4,30
9485607,"Large, sunny, cozy home w/character",1,1498417,2,02130,6,2.0,4,$195.00,0,15
7273770,Boston 2 bedroom top floor condo w/balcony!,3,4191762,2,02130,4,2.0,2,$145.00,0,0
5405928,Charming 2BD Across from Arboretum,2,1169936,2,02130,4,2.0,2,$200.00,15,65
4586681,"Hidden Gem in Jamaica Plain, Boston",1,12795084,2,02130,1,1.0,1,$90.00,18,64
1113272,JP Whole awesome apartment,2,3676936,2,02130,4,2.0,2,$210.00,18,46
12647606,Private Room in Urban DIY House,2,55603,2,02130,2,1.0,2,$75.00,9,59
10271867,Cozy room in Jamaica Plain,2,52274002,2,02130,2,1.0,1,$46.00,0,0
7879708,"Sunny, Cozy and Convenient JP Home!",3,7594805,2,02130,2,1.0,2,$75.00,30,90
3881993,Vintage Apt With 3 Large Bedrooms,2,11487565,2,02130,6,3.0,1,$500.00,29,89
12566065,Large and Cozy Boston Bedroom,2,68125441,2,02130,2,1.0,2,$60.00,0,29
6602217,Private Apartment!,2,24584716,2,02130,5,1.0,2,$130.00,0,30
